id,description,nom,type
1,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir.",Bulbizarre,Pokémon Graine
1,"Il a une étrange graine plantée sur son dos.
Elle grandit avec lui depuis sa naissance.",Bulbizarre,Pokémon Graine
1,"Au matin de sa vie, la graine sur son dos lui fournit
les éléments dont il a besoin pour grandir.",Bulbizarre,Pokémon Graine
1,"Bulbizarre passe son temps à faire la sieste sous le soleil.
Il y a une graine sur son dos. Il absorbe les rayons du soleil
pour faire doucement pousser la graine.",Bulbizarre,Pokémon Graine
1,"Il peut survivre plusieurs jours sans manger
grâce aux nutriments contenus dans le bulbe
sur son dos.",Bulbizarre,Pokémon Graine
1,"Il y a une graine sur son dos depuis sa naissance.
Elle grossit un peu chaque jour.",Bulbizarre,Pokémon Graine
1,"Quand il est jeune, il absorbe les nutriments
conservés dans son dos pour grandir
et se développer.",Bulbizarre,Pokémon Graine
2,"Lorsque le bourgeon sur son dos
éclot, il répand un doux parfum
pour célébrer sa floraison.",Herbizarre,Pokémon Graine
2,"Il y a un bulbe sur son dos. On dit que s’il absorbe
assez de nutriments, ce bulbe se transforme en
une jolie fleur.",Herbizarre,Pokémon Graine
2,"Lorsque le bourgeon sur son dos éclot, il répand
un doux parfum pour célébrer sa floraison.",Herbizarre,Pokémon Graine
2,"Un bourgeon a poussé sur le dos de ce Pokémon. Pour en
supporter le poids, Herbizarre a dû se muscler les pattes.
Lorsqu’il commence à se prélasser au soleil, ça signifie que
son bourgeon va éclore, donnant naissance à une fleur.",Herbizarre,Pokémon Graine
2,"En emmagasinant de l’énergie, son bulbe grossit.
Un arôme en émane quand il s’apprête à éclore.",Herbizarre,Pokémon Graine
2,"Son bulbe dorsal est devenu si gros qu’il ne peut
plus se tenir sur ses pattes postérieures.",Herbizarre,Pokémon Graine
2,"La lumière du soleil le rend plus fort et vigoureux.
Le bulbe sur son dos grossit en conséquence.",Herbizarre,Pokémon Graine
